experiment,label,target_model,split_mode,tensor_split,spec_family,spec_n_max,spec_p_min,top_k,min_p,temp,ctx_total,batch_b,ubatch_ub,n_predict,prompt_tokens,prefill_tok_s,prefill_ms,gen_tokens,gen_tok_s,gen_ms,acceptance_length_metrics_cumulative,proposed_per_round_metrics_cumulative,token_accept_rate_metrics_cumulative,output_sha256_16hex,vram_after_load_mib,peak_vram_mib,repeat,backend_sampling_on_gpu,wall_s,error
100k n-max + sampler trim sweep (stage A+B),mtp1-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,1,0.0,,,0.5,131072,2048,256,256,99589,516.51,192810,256,26.92,9472,1.849,1.0,0.8493,070fdcae7d5fdfff,"[9161, 9153, 4]","[9325, 9317, 4]",,,204.3,
100k n-max + sampler trim sweep (stage A+B),mtp2-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,2,0.0,,,0.5,131072,2048,256,256,99589,512.42,194351,256,32.98,7733,2.5,1.991,0.7535,4d27187d5402e033,"[9237, 9229, 4]","[9405, 9397, 4]",,,204.2,
100k n-max + sampler trim sweep (stage A+B),mtp3-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,3,0.0,,,0.5,131072,2048,256,256,99589,518.27,192156,256,35.04,7278,2.989,2.978,0.6679,ff798e8021c0f105,"[9311, 9303, 4]","[9479, 9471, 4]",,,201.6,
100k n-max + sampler trim sweep (stage A+B),mtp4-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,4,0.0,,,0.5,131072,2048,256,256,99589,513.94,193776,256,33.4,7635,3.103,3.92,0.5367,506b91b5abe78085,"[9387, 9379, 4]","[9553, 9545, 4]",,,203.7,
100k n-max + sampler trim sweep (stage A+B),mtp5-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,5,0.0,,,0.5,131072,2048,256,256,99589,512.6,194284,256,31.36,8132,3.253,4.904,0.4595,97f87ebc6487c38a,"[9461, 9453, 4]","[9627, 9619, 4]",,,204.7,
100k n-max + sampler trim sweep (stage A+B),mtp6-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,6,0.0,,,0.5,131072,2048,256,256,99589,515.78,193086,256,33.85,7534,3.736,5.875,0.4657,f9dde767132d2da3,"[9535, 9527, 4]","[9705, 9697, 4]",,,202.9,
100k n-max + sampler trim sweep (stage A+B),mtp7-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,7,0.0,,,0.5,131072,2048,256,256,99589,513.55,193922,256,43.07,5921,5.0,6.759,0.5918,450af7a0d4fe094d,"[9611, 9603, 4]","[9783, 9775, 4]",,,202.2,
100k n-max + sampler trim sweep (stage A+B),mtp8-untrimmed,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,8,0.0,,,0.5,131072,2048,256,256,99589,510.16,195210,256,35.6,7163,4.219,7.688,0.4187,aa2340f7412e26ca,"[9685, 9677, 4]","[9855, 9847, 4]",,,205.0,
100k n-max + sampler trim sweep (stage A+B),mtp7-topk20-minp005,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,7,0.0,20,0.05,0.5,131072,2048,256,256,99589,512.55,194303,256,43.01,5929,5.0,6.778,0.5902,34fd0b3a3fcbd528,"[9611, 9603, 4]","[9783, 9775, 4]",,,202.5,
100k n-max + sampler trim sweep (stage A+B),mtp7-topk20-minp008,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1",mtp,7,0.0,20,0.08,0.5,131072,2048,256,256,99589,513.65,193885,256,43.05,5924,4.909,6.782,0.5764,34fd0b3a3fcbd528,"[9611, 9603, 4]","[9783, 9775, 4]",,,202.3,
