arm,top_k,min_p,prefill tok/s,gen tok/s,AL,accept rate,proposals/round,VRAM after load (G0/G1 MiB),peak VRAM (G0/G1 MiB)
mtp7-topk20-minp005,20,0.05,512.55,43.01,5.310,0.616,6.996,9611 / 9603,9783 / 9775
mtp7-topk20-minp008,20,0.08,513.65,43.05,5.310,0.616,6.996,9611 / 9603,9783 / 9775
mtp7-topk20-minp01,20,0.1,513.78,43.03,5.310,0.616,6.996,9611 / 9603,9779 / 9771
mtp7-topk30-minp005,30,0.05,512.27,37.70,4.640,0.519,7.007,9611 / 9603,9783 / 9775
mtp7-topk30-minp008,30,0.08,513.95,41.24,5.100,0.594,6.900,9611 / 9603,9781 / 9773
mtp7-topk30-minp01,30,0.1,513.31,37.80,4.640,0.522,6.971,9611 / 9603,9781 / 9773
mtp7-topk40-minp005,40,0.05,513.16,27.97,3.450,0.356,6.876,9611 / 9603,9783 / 9775
mtp7-topk40-minp008,40,0.08,506.81,34.06,4.180,0.460,6.917,9611 / 9603,9781 / 9773
mtp7-topk40-minp01,40,0.1,513.10,34.07,4.180,0.460,6.917,9611 / 9603,9781 / 9773
mtp7-topk50-minp005,50,0.05,515.64,40.59,5.000,0.573,6.980,9611 / 9603,9783 / 9775
mtp7-topk50-minp008,50,0.08,514.48,34.84,4.250,0.469,6.933,9611 / 9603,9785 / 9777
mtp7-topk50-minp01,50,0.1,516.24,34.11,4.180,0.460,6.917,9611 / 9603,9781 / 9773
