Drafter,n-max,Temp,prompt_n,prefill ms,prefill tok/s,gen_n,gen ms,gen tok/s,draft acc %,accepted/generated,mean len,ms/step,out sha256
DFlash2 BF16,1,0.9,19966,24228,824.09,256,12546,20.32,75.86,110/145,1.76,86.3,f88c134398cae744
DFlash2 BF16,2,0.9,19966,24295,821.81,256,9782,26.07,71.77,150/209,2.43,92.9,3ca96be77a607644
DFlash2 BF16,3,0.9,19966,24442,816.88,256,10259,24.86,54.86,158/288,2.65,106.2,3ca96be77a607644
DFlash2 BF16,4,0.9,19966,24599,811.67,256,11295,22.58,39.49,156/395,2.58,113.8,1c8baf72887f3ffd
DFlash2 BF16,5,0.9,19966,24765,806.23,256,11820,21.57,33.90,160/472,2.68,123.7,1c8baf72887f3ffd
DFlash2 BF16,6,0.9,19966,24804,804.96,256,12756,19.99,29.19,162/555,2.74,136.5,1c8baf72887f3ffd
DFlash2 BF16,7,0.9,19966,24923,801.1,256,13502,18.89,26.77,166/620,2.87,151.4,1c8baf72887f3ffd
DFlash2 BF16,8,0.9,19966,25113,795.03,256,13492,18.9,26.77,166/620,2.87,151.3,1c8baf72887f3ffd
DFlash2 Q4_K_M,1,0.9,19966,24149,826.79,256,11604,21.98,75.86,110/145,1.76,79.8,f88c134398cae744
DFlash2 Q4_K_M,2,0.9,19966,24213,824.59,256,9081,28.08,71.77,150/209,2.43,86.2,3ca96be77a607644
DFlash2 Q4_K_M,3,0.9,19966,24377,819.04,256,9809,26.0,53.95,157/291,2.62,100.4,3ca96be77a607644
DFlash2 Q4_K_M,4,0.9,19966,24482,815.53,256,10940,23.31,38.50,154/400,2.54,108.5,c251edab4f1f6973
DFlash2 Q4_K_M,5,0.9,19966,24690,808.68,256,11573,22.03,33.33,159/477,2.66,120.3,1c8baf72887f3ffd
DFlash2 Q4_K_M,6,0.9,19966,24705,808.16,256,12410,20.55,29.19,162/555,2.74,132.8,1c8baf72887f3ffd
DFlash2 Q4_K_M,7,0.9,19966,24888,802.23,256,13726,18.58,25.51,163/639,2.77,148.5,1c8baf72887f3ffd
DFlash2 Q4_K_M,8,0.9,19966,25024,797.87,256,13698,18.62,25.51,163/639,2.77,148.2,1c8baf72887f3ffd
DFlash2 Q8_0,1,0.9,19966,24077,829.27,256,11903,21.42,75.86,110/145,1.76,81.8,f88c134398cae744
DFlash2 Q8_0,2,0.9,19966,24181,825.7,256,9311,27.39,71.77,150/209,2.43,88.4,3ca96be77a607644
DFlash2 Q8_0,3,0.9,19966,24364,819.5,256,9835,25.93,54.86,158/288,2.65,101.8,3ca96be77a607644
DFlash2 Q8_0,4,0.9,19966,24490,815.29,256,10944,23.3,39.04,155/397,2.55,109.0,1c8baf72887f3ffd
DFlash2 Q8_0,5,0.9,19966,24688,808.72,256,11486,22.2,33.90,160/472,2.68,120.2,1c8baf72887f3ffd
DFlash2 Q8_0,6,0.9,19966,24675,809.16,256,12484,20.43,29.19,162/555,2.74,133.6,1c8baf72887f3ffd
DFlash2 Q8_0,7,0.9,19966,24863,803.04,256,13292,19.19,26.40,165/625,2.83,146.9,1c8baf72887f3ffd
DFlash2 Q8_0,8,0.9,19966,25018,798.07,256,13291,19.19,26.40,165/625,2.83,146.9,1c8baf72887f3ffd
MTP (built-in draft-mtp),1,0.9,19966,22816,875.1,256,11524,22.13,100.00,107/107,2.00,90.0,79981d7fdaff87c0
MTP (built-in draft-mtp),2,0.9,19966,22907,871.6,256,10062,25.34,100.00,138/138,2.52,99.0,de710712533040ba
MTP (built-in draft-mtp),3,0.9,19966,23081,865.03,256,8356,30.52,97.14,170/175,3.33,108.7,e3f6e2ebc7e9e44b
MTP (built-in draft-mtp),4,0.9,19966,23206,860.38,256,8943,28.51,97.59,162/166,3.10,108.3,ca61577d2340514c
MTP (built-in draft-mtp),5,0.9,19966,23397,853.35,256,8275,30.82,97.22,175/180,3.54,114.4,a4ab431a49ed8ddb
MTP (built-in draft-mtp),6,0.9,19966,23427,852.28,256,8328,30.62,91.28,178/195,3.37,109.6,a837083ec1798169
MTP (built-in draft-mtp),7,0.9,19966,23601,845.98,256,9342,27.3,95.24,160/168,2.90,105.8,c10b7c6ae58287e1
MTP (built-in draft-mtp),8,0.9,19966,23742,840.96,256,8895,28.67,100.00,161/161,2.99,103.9,c38a6ae2dccb19af
