logged_at_BST,llama_server_pid,tokens_generated,decode_tok_s_avg,decode_tok_s_last_3s
Sep 23 22:41:07,10028,100,28.51,28.79
Sep 23 22:41:10,10028,211,32.04,36.02
Sep 23 22:41:13,10028,305,31.70,30.96
Sep 23 22:41:16,10028,373,29.50,22.52
Sep 23 22:41:19,10028,450,28.72,25.48
Sep 23 22:41:22,10028,527,28.11,24.99
Sep 23 22:41:25,10028,636,29.18,35.78
Sep 23 22:41:29,10028,744,29.90,34.97
Sep 23 22:41:32,10028,804,28.81,19.84
Sep 23 22:41:35,10028,898,29.02,30.95
Sep 23 22:41:38,10028,982,28.86,27.27
Sep 23 22:41:41,10028,1092,29.45,36.05
Sep 23 22:41:44,10028,1200,29.91,35.44
Sep 23 22:41:47,10028,1293,29.93,30.15
Sep 23 22:41:50,10028,1381,29.86,28.95
Sep 23 22:46:08,10028,8432,27.73,41.77
Sep 23 22:46:11,10028,8513,27.71,26.22
Sep 23 22:46:14,10028,8602,27.72,28.76
Sep 23 22:46:17,10028,8694,27.75,30.36
Sep 23 22:46:20,10028,8785,27.76,29.33
Sep 23 22:46:23,10028,8883,27.80,31.56
