logged_at_BST,llama_server_pid,prompt_tokens_processed,progress,elapsed_s,prefill_tok_s
Sep 23 22:40:24,10028,87500,0.84,163.20,536.14
Sep 23 22:40:28,10028,89548,0.86,167.97,533.10
Sep 23 22:40:33,10028,91596,0.88,172.79,530.10
Sep 23 22:40:38,10028,93644,0.90,177.66,527.09
Sep 23 22:40:43,10028,95692,0.92,182.57,524.15
Sep 23 22:40:48,10028,97740,0.94,187.51,521.24
Sep 23 22:40:53,10028,99788,0.96,192.51,518.36
Sep 23 22:40:58,10028,101836,0.98,197.54,515.52
Sep 23 22:41:02,10028,103466,1.00,202.17,511.79
Sep 23 22:41:03,10028,103722,1.00,202.93,511.12
