logged_at_BST,llama_server_pid,draft_acceptance_rate,accepted_tokens,generated_tokens,mean_draft_len
Aug 14 21:00:04,228363,0.83792,2864,3418,5.37
Aug 14 21:38:13,230701,0.88341,45169,51130,5.39
Aug 14 22:48:24,230701,0.81818,99,121,3.36
Aug 14 22:49:20,230701,0.89175,173,194,2.99
Aug 14 22:49:31,230701,0.87200,109,125,4.89
Aug 14 22:49:45,230701,0.94924,187,197,5.07
Aug 14 22:50:04,230701,0.93600,234,250,4.44
Aug 14 22:50:43,230701,0.87648,369,421,3.60
Aug 15 20:44:49,230701,1.00000,45,45,8.50
Aug 15 20:45:32,230701,0.91408,500,547,4.62
Aug 15 20:45:48,230701,0.95294,81,85,6.40
Aug 15 20:46:34,230701,0.89474,680,760,4.95
Aug 15 20:46:54,230701,0.92800,116,125,5.46
Aug 15 20:47:26,230701,0.88512,339,383,4.68
Aug 15 20:47:34,230701,0.98485,65,66,4.82
Aug 15 20:52:53,230701,0.88556,3668,4142,3.88
Aug 15 20:53:40,230701,0.83387,261,313,4.68
Aug 15 20:54:01,230701,0.90000,261,290,5.02
Aug 15 20:54:28,230701,0.87197,504,578,5.42
Aug 15 20:55:58,230701,0.87216,614,704,5.65
Aug 15 20:57:35,230701,0.87403,451,516,5.30
Aug 15 20:58:08,230701,0.84483,49,58,4.77
Aug 15 21:00:50,230701,0.87592,1313,1499,3.36
Aug 15 21:03:19,230701,0.85562,1286,1503,3.28
Aug 15 21:03:49,230701,0.92683,152,164,3.98
Aug 15 21:05:25,230701,0.92173,789,856,3.50
Aug 15 21:05:48,230701,0.86792,46,53,5.60
Aug 15 21:07:52,230701,0.84851,885,1043,3.10
