-b,-ub,prefill tok/s,gen tok/s,VRAM after load (0/1)
2048,256,652.77,25.74,"6,947 / 6,939"
4096,256,647.88,25.78,"6,947 / 6,939"
1024,256,643.70,25.79,"6,947 / 6,939"
4096,512,638.38,29.20,"7,069 / 7,061"
2048,512,637.11,29.28,"7,069 / 7,061"
512,256,636.57,25.81,"6,947 / 6,939"
1024,512,629.97,29.42,"7,069 / 7,061"
2048,128,630.70,30.69,"6,887 / 6,879"
4096,128,629.69,30.52,"6,887 / 6,879"
4096,2048,629.17,26.14,"7,835 / 7,827"
4096,1024,628.04,26.42,"7,311 / 7,303"
2048,2048,626.49,27.73,"7,835 / 7,827"
1024,128,625.84,30.64,"6,887 / 6,879"
2048,1024,623.38,26.62,"7,311 / 7,303"
1024,1024,619.50,26.77,"7,311 / 7,303"
512,512,619.14,23.40,"7,069 / 7,061"
512,128,617.46,30.62,"6,887 / 6,879"
256,256,614.59,30.58,"6,947 / 6,939"
4096,4096,609.74,30.53,"8,973 / 8,965"
256,128,596.97,30.64,"6,887 / 6,879"
128,128,595.85,32.76,"6,887 / 6,879"
