n-max,p-min,prefill tok/s,gen tok/s,AL,accept,VRAM after load (0/1),peak (0/1)
2,0.00,649.80,43.40,2.329,0.6689,"6,947 / 6,939","7,117 / 7,109"
4,0.00,646.43,42.73,2.983,0.4958,"7,097 / 7,089","7,269 / 7,261"
3,0.00,650.12,42.08,2.565,0.5268,"7,021 / 7,013","7,191 / 7,183"
6,0.00,646.97,37.92,3.143,0.3647,"7,245 / 7,237","7,417 / 7,409"
8,0.00,640.63,37.26,3.243,0.2912,"7,395 / 7,387","7,573 / 7,565"
5,0.00,641.55,36.83,2.928,0.3855,"7,171 / 7,163","7,343 / 7,335"
7,0.00,648.51,35.16,3.200,0.3218,"7,321 / 7,313","7,495 / 7,487"
4,0.85,648.13,32.18,3.500,0.9697,"7,097 / 7,089","7,269 / 7,261"
3,0.85,649.99,30.71,3.114,0.9610,"7,021 / 7,013","7,193 / 7,185"
5,0.85,639.91,30.57,3.581,0.9756,"7,171 / 7,163","7,343 / 7,335"
6,0.85,639.72,30.06,3.860,0.9760,"7,245 / 7,237","7,419 / 7,411"
7,0.85,644.29,29.91,3.828,0.9647,"7,321 / 7,313","7,495 / 7,487"
8,0.85,644.12,29.87,3.982,0.9653,"7,395 / 7,387","7,569 / 7,561"
2,0.85,643.74,26.01,2.439,0.9593,"6,947 / 6,939","7,117 / 7,109"
